gr_bin,ri_bin,class,count
0.55,0.35,GALAXY,871
0.6,0.2,GALAXY,84
1.9,1.1,GALAXY,423
2.0,1.0,GALAXY,271
0.2,-0.05,STAR,170
0.45,0.4,QSO,106
1.05,0.8,GALAXY,161
0.15,-0.15,QSO,199
0.9,0.5,GALAXY,884
0.25,-0.25,QSO,57
1.7,1.25,GALAXY,275
-0.2,0.1,QSO,61
0.1,0.25,GALAXY,35
1.0,0.4,STAR,189
0.8,0.35,QSO,38
0.8,0.45,GALAXY,1201
1.9,1.0,GALAXY,460
0.0,0.2,QSO,540
0.4,0.05,STAR,310
1.05,1.05,GALAXY,112
0.8,0.4,GALAXY,1758
0.15,-0.1,QSO,332
1.5,0.85,GALAXY,516
0.15,0.0,GALAXY,32
1.8,1.35,GALAXY,93
0.9,0.8,GALAXY,116
0.25,-0.15,QSO,207
0.55,0.4,GALAXY,513
1.95,1.1,GALAXY,363
1.7,1.1,GALAXY,597
0.35,0.5,GALAXY,63
2.1,0.95,GALAXY,148
0.25,0.15,STAR,908
0.45,0.35,STAR,58
0.6,0.35,GALAXY,974
0.85,0.4,GALAXY,1962
0.2,0.3,STAR,61
0.4,0.75,GALAXY,69
0.25,0.05,QSO,769
1.55,0.5,GALAXY,238
1.6,0.8,GALAXY,682
1.7,1.5,GALAXY,39
0.4,0.05,QSO,381
2.25,1.2,GALAXY,112
0.7,0.2,GALAXY,52
1.95,0.85,GALAXY,334
0.05,0.5,QSO,67
0.75,0.15,STAR,52
0.25,0.0,STAR,273
1.1,0.45,STAR,207
1.95,0.8,GALAXY,265
0.8,0.3,QSO,34
-0.1,0.1,STAR,26
0.3,0.2,STAR,472
1.35,0.6,STAR,106
1.15,0.4,STAR,182
0.25,0.6,QSO,30
2.3,1.0,GALAXY,59
0.3,-0.2,QSO,85
1.9,1.35,GALAXY,98
0.4,-0.25,QSO,32
0.1,0.4,QSO,231
1.7,1.15,GALAXY,503
1.3,0.8,GALAXY,269
1.15,0.4,GALAXY,276
0.55,0.05,QSO,112
1.55,0.7,GALAXY,241
1.2,0.75,GALAXY,185
1.15,1.15,GALAXY,98
2.1,1.0,GALAXY,147
0.85,0.75,GALAXY,122
2.0,0.75,GALAXY,122
0.6,0.25,GALAXY,209
0.9,0.95,GALAXY,83
0.6,0.45,GALAXY,241
0.3,0.85,GALAXY,34
0.65,1.0,GALAXY,47
-0.15,0.5,QSO,33
0.55,0.3,QSO,84
1.3,1.35,GALAXY,58
0.3,0.1,GALAXY,99
1.4,1.25,GALAXY,143
1.55,1.55,STAR,50
0.45,-0.05,QSO,206
0.35,-0.3,QSO,26
0.35,0.55,QSO,57
0.35,-0.05,STAR,78
-0.15,0.35,QSO,94
1.0,0.95,GALAXY,104
0.55,0.55,GALAXY,85
1.35,0.9,GALAXY,311
0.85,0.25,STAR,141
0.65,0.6,GALAXY,86
1.85,1.3,GALAXY,145
1.25,1.3,GALAXY,75
0.35,0.75,GALAXY,52
0.05,0.05,GALAXY,22
0.65,0.25,GALAXY,137
2.1,0.8,GALAXY,57
2.65,1.2,GALAXY,49
