generacion,mejor,media
61,7326.4536428540605,7166.601404608929
62,7326.4536428540605,7168.884435990643
63,7326.4536428540605,7172.347024188245
64,7326.4536428540605,7179.1952582560225
65,7326.4536428540605,7176.321394076034
66,7326.4536428540605,7162.013853349028
67,7326.4536428540605,7170.178673946401
68,7326.4536428540605,7168.959819454039
69,7328.520240685633,7180.594796404999
70,7328.520240685633,7165.811958393647
71,7328.520240685633,7176.093892682299
72,7328.520240685633,7183.497713263721
73,7328.520240685633,7181.093584507899
74,7328.520240685633,7175.345470253674
75,7328.520240685633,7168.28374250027
76,7328.520240685633,7172.295759211006
77,7328.520240685633,7169.18585830822
78,7328.520240685633,7163.871972669337
79,7328.520240685633,7167.951605142078
80,7328.520240685633,7175.082696662009
81,7328.520240685633,7170.178660602246
82,7328.520240685633,7164.301590789302
83,7328.520240685633,7171.392128029719
84,7328.520240685633,7175.5136513013695
85,7328.520240685633,7174.834012903609
86,7328.520240685633,7178.768492161829
87,7328.520240685633,7165.838685701359
88,7328.520240685633,7175.7431692371
89,7328.520240685633,7170.832403866337
90,7328.520240685633,7168.461356617386
91,7328.520240685633,7166.011923215064
92,7328.520240685633,7173.028209295432
93,7328.520240685633,7169.086954301972
94,7329.871518542352,7173.923567318525
95,7329.871518542352,7179.2936793325025
96,7329.871518542352,7170.8126099331
97,7331.4847677072075,7183.098010348535
98,7331.4847677072075,7169.139806750259
99,7331.4847677072075,7170.420447951832
100,7331.4847677072075,7154.997757082448
101,7331.4847677072075,7166.328826570318
102,7331.4847677072075,7171.977286921461
103,7331.4847677072075,7169.087814625906
104,7331.4847677072075,7167.7984659498625
105,7331.4847677072075,7163.347612684151
106,7331.4847677072075,7172.5509476967345
107,7331.4847677072075,7175.088065463363
108,7331.4847677072075,7169.744386374647
109,7331.4847677072075,7176.465813516073
110,7331.4847677072075,7177.7065200130155
111,7331.4847677072075,7174.1285446104475
112,7331.4847677072075,7177.741612932536
113,7331.4847677072075,7183.134880140617
114,7331.4847677072075,7174.544925867456
115,7331.4847677072075,7169.744720707983
116,7331.4847677072075,7166.526823827532
117,7331.4847677072075,7170.283614907302
118,7331.4847677072075,7160.78010629461
119,7331.4847677072075,7174.3826348442
120,7331.4847677072075,7172.2715268450065
121,7331.4847677072075,7174.8523855256
122,7331.4847677072075,7178.998641169408
123,7331.4847677072075,7167.270663416926
124,7331.4847677072075,7173.669495527767
125,7331.4847677072075,7173.718557782846
126,7331.4847677072075,7171.986153081064
127,7331.4847677072075,7176.7360762166445
128,7331.4847677072075,7179.062199657173
129,7331.4847677072075,7176.633103349143
130,7331.4847677072075,7172.301594592596
131,7331.4847677072075,7168.545443416591
132,7331.4847677072075,7176.154636304002
133,7331.4847677072075,7177.156371606679
134,7331.4847677072075,7182.146052436131
135,7331.4847677072075,7180.882565948539
136,7331.4847677072075,7185.724898296047
137,7331.4847677072075,7175.46455592256
138,7331.4847677072075,7182.837664139855
139,7331.4847677072075,7174.6041441228035
140,7331.4847677072075,7176.338917982656
141,7331.4847677072075,7173.880089748406
142,7331.4847677072075,7170.264025128693
143,7331.4847677072075,7175.570947145519
144,7331.4847677072075,7184.432543046289
145,7331.4847677072075,7183.609434757947
146,7331.4847677072075,7174.485269916481
147,7331.4847677072075,7181.806162090824
148,7331.4847677072075,7190.165594912129
149,7331.4847677072075,7186.630978061964
150,7331.4847677072075,7185.874907984131
151,7331.4847677072075,7173.801850860254
152,7331.4847677072075,7175.90754850898
153,7331.4847677072075,7182.2532463499465
154,7331.4847677072075,7182.864442570291
155,7331.4847677072075,7177.926205573379
156,7331.4847677072075,7175.745946917003
157,7331.4847677072075,7180.2906938556025
158,7331.4847677072075,7181.974155308649
159,7331.4847677072075,7179.183581063689
160,7331.4847677072075,7167.723942581976
161,7331.4847677072075,7166.897954297852
162,7331.4847677072075,7177.281975812395
